Ad_ID,Company_Campaign_ID,FB_campaign_ID,Age,Gender,interest,Impressions,Clicks,Spent,Ctr,Cpc,Conversion_Rate,Cpa,Gender_Encoded
1121839,1178,144663,32,F,31,13911,1,1.730000019,7.188555819135935e-05,1.730000019,1.0,1.730000019,1
710968,916,104287,37,F,27,5864,2,2.799999952,0.0003410641200545,1.399999976,0.5,2.799999952,1
735220,936,108823,47,F,15,69708,20,31.28999949,0.0002869111149365,1.5644999745,0.05,31.28999949,1
734210,936,108654,32,M,10,13329,4,5.629999995,0.0003000975316978,1.40749999875,0.25,5.629999995,0
1121692,1178,144639,47,M,32,718359,147,264.5899997,0.0002046330595148,1.7999319707482997,0.0272108843537414,66.147499925,0
776383,936,115495,47,F,23,1168,0,0.0,0.0,0.0,0.0,0.0,1
737130,936,109507,37,M,16,11199,2,2.680000067,0.0001785873738726,1.3400000335,0.5,2.680000067,0
1122265,1178,144734,47,F,27,1428421,367,541.7000023,0.0002569270544188,1.4760218046321527,0.0272479564032697,54.17000023000001,1
1121373,1178,144586,37,M,29,492784,56,95.5100013,0.0001136400532484,1.7055357375,0.125,13.6442859,0
1122113,1178,144709,42,F,27,913929,245,340.4099993,0.0002680733404892,1.3894285685714285,0.0285714285714285,48.6299999,1
734605,936,108720,42,M,36,834,0,0.0,0.0,0.0,0.0,0.0,0
1121370,1178,144585,37,M,28,550954,84,150.1400012,0.0001524628190375,1.787380966666667,0.0357142857142857,50.04666706666666,0
1121216,1178,144556,32,M,30,198658,30,48.60999978,0.0001510132992378,1.620333326,0.2666666666666666,6.0762499725,0
1121341,1178,144580,37,M,23,223120,40,67.66999984,0.0001792757260666,1.691749996,0.025,67.66999984,0
950170,936,123455,32,M,15,1720,0,0.0,0.0,0.0,0.0,0.0,0
1121723,1178,144644,47,M,2,50947,10,15.99000025,0.0001962824111331,1.599000025,0.1,15.99000025,0
1121514,1178,144609,42,M,27,56265,9,15.53999972,0.000159957344708,1.7266666355555556,0.1111111111111111,15.53999972,0
1122202,1178,144724,47,F,16,906151,202,295.5499957,0.0002229209039111,1.4631187905940597,0.0049504950495049,295.5499957,1
781187,936,116343,42,F,16,164118,41,59.06999993,0.0002498202512826,1.4407317056097562,0.024390243902439,59.06999993,1
1121711,1178,144642,47,M,64,49916,10,16.38,0.0002003365654299,1.638,0.1,16.38,0
1121133,1178,144538,32,M,22,25002,1,1.710000038,3.999680025597952e-05,1.710000038,1.0,1.710000038,0
1121528,1178,144611,42,M,29,172827,25,38.42000043,0.000144653323844,1.5368000172,0.08,19.210000215,0
1121364,1178,144584,37,M,27,274222,43,66.7700001,0.0001568072583527,1.5527907,0.0465116279069767,33.38500005,0
1121933,1178,144679,37,F,22,325653,63,89.35000026,0.0001934574531786,1.4182539723809524,0.0317460317460317,44.67500013,1
779488,936,116039,47,M,65,1006,0,0.0,0.0,0.0,0.0,0.0,0
1121776,1178,144653,32,F,21,103709,15,24.56999969,0.0001446354704027,1.6379999793333333,0.2,8.189999896666667,1
