Ad_ID,Company_Campaign_ID,FB_campaign_ID,Age,Gender,interest,Impressions,Clicks,Spent,Total_Conversion,Ctr,Cpc,Conversion_Rate,Cpa
735298,936,108836,47,F,29,85412,28,38.63999999,2,0.0003278227883669742,1.3799999996428571,0.07142857142857142,19.319999995
736869,936,109448,32,M,2,2338,1,0.239999995,1,0.000427715996578272,0.239999995,1.0,0.239999995
736890,936,109451,32,M,15,2522,0,0.0,1,0.0,0.0,0.0,0.0
736893,936,109452,32,M,16,3587,0,0.0,1,0.0,0.0,0.0,0.0
736977,936,109470,32,M,27,1273,0,0.0,1,0.0,0.0,0.0,0.0
736988,936,109472,32,M,28,3891,1,1.090000033,1,0.00025700334104343357,1.090000033,1.0,1.090000033
736995,936,109473,32,M,29,1888,0,0.0,1,0.0,0.0,0.0,0.0
736997,936,109473,32,M,29,1895,0,0.0,1,0.0,0.0,0.0,0.0
737097,936,109498,37,M,7,715,0,0.0,1,0.0,0.0,0.0,0.0
737130,936,109507,37,M,16,11199,2,2.680000067,1,0.0001785873738726672,1.3400000335,0.5,2.680000067
737320,936,109553,37,M,63,5676,2,3.00999999,1,0.00035236081747709656,1.504999995,0.5,3.00999999
737375,936,109565,42,M,10,1415,0,0.0,1,0.0,0.0,0.0,0.0
737524,936,109601,42,M,30,2148,1,1.580000043,1,0.0004655493482309125,1.580000043,1.0,1.580000043
737644,936,109629,47,M,16,45401,10,14.06000042,1,0.00022025946565053632,1.406000042,0.1,14.06000042
737657,936,109633,47,M,18,7478,2,2.900000095,1,0.0002674511901577962,1.4500000475,0.5,2.900000095
737658,936,109633,47,M,18,4919,1,1.590000033,1,0.00020329335230737954,1.590000033,1.0,1.590000033
737674,936,109637,47,M,20,533,0,0.0,1,0.0,0.0,0.0,0.0
737766,936,109659,47,M,29,1447,0,0.0,1,0.0,0.0,0.0,0.0
737896,936,109689,32,F,16,17553,3,4.590000153,1,0.00017091095539224064,1.530000051,0.3333333333333333,4.590000153
737931,936,109698,32,F,20,3343,1,0.540000021,1,0.0002991325157044571,0.540000021,1.0,0.540000021
737961,936,109706,32,F,23,523,0,0.0,1,0.0,0.0,0.0,0.0
737995,936,109714,32,F,26,1873,0,0.0,1,0.0,0.0,0.0,0.0
738006,936,109717,32,F,27,34740,7,13.41000009,1,0.00020149683362118595,1.9157142985714286,0.14285714285714285,13.41000009
738067,936,109731,32,F,32,658,0,0.0,1,0.0,0.0,0.0,0.0
738098,936,109738,32,F,64,1539,0,0.0,1,0.0,0.0,0.0,0.0
738307,936,109788,37,F,31,3010,1,0.860000014,1,0.0003322259136212625,0.860000014,1.0,0.860000014
738389,936,109808,42,F,10,27081,9,10.77000046,1,0.00033233632436025255,1.1966667177777779,0.1111111111111111,10.77000046
738408,936,109813,42,F,16,20233,4,5.590000153,3,0.00019769683190826867,1.39750003825,0.75,1.8633333843333333
738413,936,109813,42,F,16,147159,36,58.16000044,3,0.00024463335575805763,1.6155555677777778,0.08333333333333333,19.38666681333333
738423,936,109816,42,F,18,21664,7,10.61999977,1,0.00032311669128508124,1.5171428242857143,0.14285714285714285,10.61999977
738436,936,109820,42,F,19,9112,4,5.460000038,1,0.0004389815627743635,1.3650000095,0.25,5.460000038
738463,936,109826,42,F,21,542,0,0.0,1,0.0,0.0,0.0,0.0
738528,936,109839,42,F,30,402,0,0.0,1,0.0,0.0,0.0,0.0
738560,936,109844,42,F,64,1338,0,0.0,1,0.0,0.0,0.0,0.0
738582,936,109848,47,F,10,46150,15,20.17999983,1,0.0003250270855904659,1.3453333219999999,0.06666666666666667,20.17999983
738592,936,109850,47,F,16,493821,116,176.3799977,4,0.0002349029304140569,1.520517221551724,0.034482758620689655,44.094999425
738593,936,109850,47,F,16,92011,27,34.39000046,2,0.00029344317527252176,1.273703720740741,0.07407407407407407,17.19500023
738598,936,109851,47,F,18,12956,4,5.49000001,1,0.00030873726458783575,1.3725000025,0.25,5.49000001
738606,936,109852,47,F,19,529,0,0.0,1,0.0,0.0,0.0,0.0
738637,936,109857,47,F,24,944,1,1.419999957,1,0.001059322033898305,1.419999957,1.0,1.419999957
738648,936,109859,47,F,26,111090,38,51.97000027,5,0.0003420649923485462,1.3676315860526316,0.13157894736842105,10.394000054
747212,936,110836,32,M,10,7208,2,3.190000057,1,0.0002774694783573807,1.5950000285,0.5,3.190000057
747213,936,110836,32,M,10,1746,0,0.0,1,0.0,0.0,0.0,0.0
747220,936,110837,32,M,15,2474,0,0.0,2,0.0,0.0,0.0,0.0
747222,936,110838,32,M,16,12489,2,1.960000038,1,0.00016014092401313155,0.980000019,0.5,1.960000038
747223,936,110838,32,M,16,8032,1,0.600000024,2,0.0001245019920318725,0.600000024,2.0,0.300000012
747248,936,110842,32,M,21,472,0,0.0,1,0.0,0.0,0.0,0.0
747332,936,110856,32,M,64,792,0,0.0,1,0.0,0.0,0.0,0.0
747362,936,110861,37,M,15,4607,1,1.149999976,1,0.00021706099413935315,1.149999976,1.0,1.149999976
