Total_Conversion
1
3
2
4
2
1
3
5
2
0
1
14
1
4
3
1
2
3
3
4
1
0
2
2
4
1
1
1
3
1
1
11
26
5
1
1
60
1
5
1
1
1
1
1
8
2
1
1
1
1
1
1
4
1
1
10
7
7
1
3
8
1
1
1
1
1
1
1
1
2
2
2
1
3
4
1
1
15
1
5
1
1
7
1
1
2
1
1
1
1
9
2
1
2
1
7
1
3
2
1
2
1
2
1
4
3
1
1
1
2
1
1
1
6
1
1
1
1
4
1
1
5
1
1
5
2
1
1
5
1
2
0
1
1
5
2
9
8
2
1
1
7
2
1
2
1
1
1
1
1
1
2
1
1
1
1
2
1
1
2
4
2
5
2
1
1
1
1
1
3
4
1
1
1
1
1
3
2
1
1
2
1
3
1
1
1
3
1
3
1
7
3
1
4
2
9
1
7
2
1
4
2
1
1
5
1
1
1
22
2
1
1
21
4
1
1
1
2
1
1
1
1
1
12
3
1
3
1
2
4
1
1
1
2
1
1
2
1
1
1
2
2
2
2
1
2
2
1
1
5
6
1
23
1
4
1
5
1
1
5
1
1
1
4
1
2
11
1
1
1
1
4
1
16
1
11
1
1
2
17
1
1
13
1
12
1
3
2
4
2
1
3
2
2
13
1
1
1
4
4
3
1
1
2
2
1
1
1
2
1
2
1
2
6
1
2
1
1
1
1
1
1
1
2
1
28
1
2
1
2
1
1
1
3
1
1
5
1
1
1
1
22
1
6
4
1
1
1
1
17
5
1
1
13
1
1
1
1
6
3
1
1
1
1
1
13
1
1
1
2
1
3
1
1
3
4
2
11
4
1
1
1
5
1
1
1
1
1
3
1
1
1
1
2
1
3
1
3
2
2
1
1
4
1
1
1
1
10
1
1
1
20
3
3
3
1
1
1
1
1
1
4
2
1
1
1
5
1
1
4
1
5
1
1
2
2
1
1
4
1
1
1
8
3
1
1
6
1
1
13
8
1
1
1
1
1
1
5
1
5
9
2
1
2
6
1
1
1
1
9
1
7
19
2
2
3
1
8
1
1
0
1
1
4
1
1
4
2
1
1
3
1
8
4
1
1
1
3
1
1
1
5
31
1
5
1
1
1
2
1
1
1
1
17
1
2
2
3
2
2
1
7
2
1
1
1
1
4
1
3
1
2
3
11
1
1
2
6
5
1
1
1
1
1
1
1
5
1
1
31
1
1
1
1
1
4
1
1
1
5
1
1
1
2
1
2
1
1
1
1
2
2
1
0
1
2
1
14
3
6
1
1
1
7
1
8
1
1
1
1
1
14
1
1
2
2
1
1
6
1
10
3
1
7
3
1
1
22
1
3
2
1
1
11
16
1
23
2
1
2
1
1
1
1
1
1
9
1
1
1
1
1
5
1
2
1
4
1
1
2
1
1
1
1
4
1
1
3
5
7
2
1
16
1
2
2
1
1
6
3
3
1
3
4
2
2
1
1
2
2
4
2
1
5
1
10
1
1
1
1
1
1
2
1
1
2
1
1
1
6
1
4
1
1
1
1
1
1
1
1
3
1
1
0
2
4
1
1
1
6
1
1
18
3
3
1
1
1
2
6
1
1
4
3
7
2
30
17
1
1
3
2
1
5
1
2
1
1
3
13
1
2
1
6
1
1
5
4
1
2
2
1
3
1
1
1
3
5
4
3
2
1
1
1
1
1
4
1
1
5
1
2
3
1
1
3
1
2
4
2
1
1
4
22
1
1
1
1
1
1
24
1
5
1
2
1
5
2
0
5
1
4
11
1
2
1
2
12
1
6
4
3
2
2
2
1
1
1
2
1
1
6
1
1
1
4
1
1
1
1
1
1
1
1
1
1
1
1
2
1
1
1
2
1
2
1
1
1
1
1
1
1
1
8
1
1
1
1
4
1
1
16
1
1
2
2
5
1
2
3
1
1
1
1
4
1
1
2
1
1
2
1
6
1
3
1
6
5
0
4
1
2
2
1
1
1
1
4
1
2
2
7
1
2
10
1
1
1
1
2
11
10
38
1
